scenario,tsa_num,sawnwood,panels,otherirw,pulppaper,bioenergycommodities,bioenergyharvest,bioenergyharvestresidue,bioenergymillresidue
CBM_B_HWP_Base,12.0,2.528097,2.528097,2.528097,4.831096,2.528097,2.528097,2.528097,2.528097
CBM_B_HWP_Base,13.0,0.7562646,0.7562646,0.7562646,1.445193,0.7562646,0.7562646,0.7562646,0.7562646
CBM_B_HWP_Base,14.0,2.526402,2.526402,2.526402,4.827858,2.526402,2.526402,2.526402,2.526402
CBM_B_HWP_Base,15.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_B_HWP_Base,16.0,0.7289009,0.7289009,0.7289009,1.392902,0.7289009,0.7289009,0.7289009,0.7289009
CBM_B_HWP_Base,17.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_B_HWP_Base,18.0,2.521154,2.521154,2.521154,4.817829,2.521154,2.521154,2.521154,2.521154
CBM_B_HWP_Base,19.0,1.05948,1.05948,1.05948,2.024626,1.05948,1.05948,1.05948,1.05948
CBM_B_HWP_Base,20.0,0.7549538,0.7549538,0.7549538,1.442688,0.7549538,0.7549538,0.7549538,0.7549538
CBM_B_HWP_Base,21.0,1.518278,1.518278,1.518278,2.901371,1.518278,1.518278,1.518278,1.518278
CBM_B_HWP_Base,22.0,2.468183,2.468183,2.468183,4.716604,2.468183,2.468183,2.468183,2.468183
CBM_B_HWP_Base,23.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_B_HWP_Base,24.0,2.494885,2.494885,2.494885,4.76763,2.494885,2.494885,2.494885,2.494885
CBM_B_HWP_Base,25.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_B_HWP_Base,26.0,2.541876,2.541876,2.541876,4.857428,2.541876,2.541876,2.541876,2.541876
CBM_B_HWP_Base,27.0,0.7073222,0.7073222,0.7073222,1.351666,0.7073222,0.7073222,0.7073222,0.7073222
CBM_B_HWP_Base,29.0,2.525399,2.525399,2.525399,4.825941,2.525399,2.525399,2.525399,2.525399
CBM_B_HWP_Base,30.0,1.926566,1.926566,1.926566,3.681594,1.926566,1.926566,1.926566,1.926566
CBM_B_HWP_Base,31.0,2.030554,2.030554,2.030554,3.88031,2.030554,2.030554,2.030554,2.030554
CBM_B_HWP_Base,33.0,1.383364,1.383364,1.383364,2.643555,1.383364,1.383364,1.383364,1.383364
CBM_B_HWP_Base,37.0,1.01591,1.01591,1.01591,1.941365,1.01591,1.01591,1.01591,1.01591
CBM_B_HWP_Base,38.0,2.067713,2.067713,2.067713,3.951321,2.067713,2.067713,2.067713,2.067713
CBM_B_HWP_Base,39.0,1.547511,1.547511,1.547511,2.957235,1.547511,1.547511,1.547511,1.547511
CBM_B_HWP_Base,40.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_B_HWP_Base,41.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_B_HWP_Base,43.0,1.0263,1.0263,1.0263,1.96122,1.0263,1.0263,1.0263,1.0263
CBM_B_HWP_Base,44.0,2.541882,2.541882,2.541882,4.857439,2.541882,2.541882,2.541882,2.541882
CBM_B_HWP_Base,45.0,2.50129,2.50129,2.50129,4.779869,2.50129,2.50129,2.50129,2.50129
CBM_B_HWP_LLP,1.0,1.023576,1.023576,1.023576,2.65751,1.023576,1.023576,1.023576,1.023576
